246.06,0.0065372,0.95691,-0.017549,0.7727,-0.32018
306.07,-0.0029841,0.92864,-0.038366,0.74176,-0.36752
366.07,0.0022156,0.91272,0.0090853,0.73945,-0.38422
426.09,-0.0059952,0.97134,-0.04445,0.73467,-0.38684
486.1,0.011147,0.9825,-0.032259,0.73514,-0.40906
546.11,0.00052142,0.97963,0.051123,0.78511,-0.2681
606.11,-0.0059129,0.99749,0.045609,0.79193,-0.24241
666.12,-0.014965,0.98445,-0.086439,0.74205,-0.32169
726.14,0.0065811,0.98322,0.11547,0.7337,-0.37143
786.15,0.0086715,0.9884,-0.012064,0.75442,-0.33779
846.16,0.0094188,0.98978,-0.073197,0.7241,-0.40118
906.17,0.032033,0.98158,0.030098,0.77858,-0.37783
966.18,0.011772,0.95786,-0.037393,0.75124,-0.3709
1026.2,0.0066633,0.95454,-0.051927,0.74757,-0.36918
1086.2,-0.00073129,0.97084,0.12955,0.76104,-0.323
1146.2,0.0099467,0.98018,0.017493,0.75001,-0.3878
1206.2,0.0054923,0.99999,0.0098047,0.77784,-0.32029
1266.2,0.01177,0.99324,0.02012,0.75793,-0.37549
1326.2,0.018278,0.99487,0.045833,0.74064,-0.41269
1386.2,0.018371,0.99373,0.090081,0.7363,-0.41481
1446.2,0.010652,0.98894,0.087054,0.74085,-0.3606
1506.2,0.014191,0.99512,0.095488,0.74157,-0.39935
1566.3,0.012841,0.98979,0.14836,0.74002,-0.32078
1626.3,0.0041062,0.98844,0.18828,0.75669,-0.26663
1686.3,0.0069437,0.98438,0.022412,0.75568,-0.36085
1746.3,0.011109,0.98775,0.031455,0.74569,-0.38406
1806.3,0.01981,0.97265,-0.14942,0.75011,-0.35101
1866.3,0.0035379,0.99323,-0.067428,0.76658,-0.32047
1926.3,0.00068116,1,-0.065234,0.7665,-0.32617
