78.85,-0.040497,-0.035522,-0.037987,8.0816e-07,0.00089898,0.00072953,0.33984,0.03125,0,0,0
78.867,-0.041138,-0.033936,-0.037891,1.9685e-06,0.001403,0.0010631,0.25391,0.058594,0,0,0
78.905,-0.045593,-0.030335,-0.038045,1.0364e-05,0.0032194,0.0025852,0.3125,0.039062,0,0,0
78.942,-0.04538,-0.029053,-0.038111,1.0008e-05,0.0031636,0.0025393,0.35156,0.046875,0,0,0
78.969,-0.04071,-0.0354,-0.037991,1.6278e-06,0.0012759,0.0010256,0.34375,0.023438,0,0,0
78.995,-0.039764,-0.036163,-0.037975,4.9095e-07,0.00070068,0.00056162,0.32812,0.042969,0,0,0
79.033,-0.040863,-0.035645,-0.037647,6.9886e-07,0.00083598,0.00066724,0.30859,0.046875,0.0039062,0,0
79.08,-0.039673,-0.035583,-0.038093,6.9835e-07,0.00083567,0.0006586,0.30859,0.058594,0.0039062,0,0
79.107,-0.042969,-0.032165,-0.038388,4.6952e-06,0.0021668,0.0015685,0.26172,0.066406,0,0,0
79.146,-0.043762,-0.033569,-0.038537,4.6121e-06,0.0021476,0.0017818,0.35156,0.023438,0,0,0
79.173,-0.044159,-0.030029,-0.037802,8.1263e-06,0.0028507,0.0022943,0.33984,0.050781,0,0,0
79.211,-0.047577,-0.029572,-0.037975,1.3222e-05,0.0036362,0.0028924,0.32812,0.035156,0,0,0
79.26,-0.048523,-0.027649,-0.037882,2.0337e-05,0.0045096,0.0037304,0.35938,0.042969,0,0,0
79.287,-0.043793,-0.031128,-0.038028,6.712e-06,0.0025908,0.0020961,0.33203,0.042969,0,0,0
79.326,-0.045227,-0.03009,-0.037555,7.3779e-06,0.0027162,0.0022011,0.32422,0.035156,0,0,0
79.353,-0.042847,-0.033295,-0.037767,3.5022e-06,0.0018714,0.001491,0.30469,0.054688,0,0,0
79.618,-0.04187,-0.033691,-0.038251,2.7154e-06,0.0016478,0.0013014,0.28906,0.058594,0,0,0
79.645,-0.040924,-0.033997,-0.03797,1.8231e-06,0.0013502,0.0010808,0.29688,0.046875,0,0,0
79.682,-0.040314,-0.035919,-0.038052,9.2363e-07,0.00096106,0.00075298,0.3125,0.070312,0,0,0
