101.6,12,-83
101.7,18,-86
103.8,3,-75
104.0,11,-76
105.0,13,-81
128.9,14,-68
129.5,7,-87
129.7,8,-76
129.7,1,-88
129.9,15,-81
129.9,2,-81
131.1,11,-64
131.3,10,-85
185.1,15,-79
186.2,11,-78
186.3,6,-87
187.1,14,-71
187.2,7,-82
187.4,13,-85
187.9,2,-92
187.9,3,-88
188.0,9,-79
188.0,4,-88
213.1,13,-80
213.4,15,-83
213.6,11,-83
213.6,2,-79
213.6,4,-88
214.4,9,-88
214.7,8,-79
214.7,14,-78
215.1,1,-82
216.1,10,-92
216.1,12,-85
216.2,18,-89
216.2,7,-79
216.4,6,-87
239.0,15,-78
239.1,10,-80
239.1,5,-78
239.5,9,-88
239.5,11,-72
239.6,7,-68
240.7,14,-83
241.0,1,-83
241.0,13,-90
241.5,2,-90
242.7,6,-77
243.7,3,-87
243.9,4,-78
261.9,7,-87
261.9,15,-71
262.1,14,-82
262.3,6,-81
262.8,13,-88
263.4,8,-79
263.8,10,-79
264.1,11,-81
264.2,18,-86
264.6,3,-78
264.7,5,-87
265.3,1,-84
285.3,18,-90
285.4,2,-85
285.8,3,-78
286.1,15,-85
286.3,6,-78
286.3,4,-85
287.9,12,-88
287.9,11,-77
288.0,14,-86
288.3,5,-83
288.3,13,-80
288.3,1,-80
288.8,8,-75
310.1,10,-85
310.2,8,-79
310.3,15,-78
310.5,5,-85
311.5,3,-78
311.7,7,-81
312.9,1,-85
313.0,13,-77
313.2,11,-80
313.3,9,-84
313.4,6,-78
313.8,2,-86
331.1,2,-78
331.2,6,-77
331.2,1,-79
331.9,8,-72
335.5,18,-86
335.8,10,-88
336.0,9,-89
352.0,6,-73
352.4,5,-83
352.5,8,-75
352.6,9,-84
352.6,13,-78
353.0,2,-80
353.9,18,-88
354.1,7,-78
355.0,14,-89
355.1,12,-90
356.2,10,-78
374.9,9,-80
375.0,4,-83
375.2,5,-88
375.3,12,-73
375.3,6,-82
375.4,13,-72
376.2,15,-87
376.5,8,-81
376.6,14,-84
376.9,7,-77
377.7,11,-75
400.5,2,-88
400.9,12,-83
402.1,14,-78
403.5,11,-83
403.8,7,-80
404.5,3,-84
424.5,12,-85
425.0,6,-83
425.1,11,-86
425.6,9,-82
425.7,15,-83
426.5,14,-88
426.8,8,-88
427.6,7,-88
428.0,1,-83
450.8,7,-83
451.0,1,-76
452.7,8,-70
453.0,4,-80
453.7,14,-89
453.8,5,-88
454.0,18,-83
479.4,6,-88
480.3,12,-72
481.0,1,-86
482.1,7,-85
482.9,8,-70
483.0,11,-75
483.0,15,-89
483.7,10,-83
503.5,8,-78
503.5,1,-85
503.7,4,-77
503.8,2,-88
504.0,5,-85
504.6,6,-83
505.5,12,-80
505.6,15,-86
505.8,13,-90
506.5,7,-85
506.6,10,-88
507.1,14,-78
529.8,14,-76
530.0,12,-88
530.4,18,-77
530.4,1,-83
532.0,6,-83
532.8,10,-83
533.1,9,-88
533.1,4,-78
557.5,10,-83
557.5,9,-70
557.7,5,-90
558.1,18,-73
558.5,14,-83
558.7,11,-78
559.3,8,-83
559.3,12,-88
559.9,13,-89
560.2,6,-85
560.5,1,-90
561.0,4,-90
562.1,7,-86
582.8,8,-82
582.9,6,-87
584.1,12,-87
584.3,10,-75
584.5,11,-75
584.8,14,-86
585.0,4,-84
585.1,1,-83
585.4,18,-80
587.3,15,-88
608.6,11,-65
