61.303,31.25,1.4434,62.5,0.23326,156.25,0.08311,281.25,0.08075,1531.2,0.06109,1562.5,0.05569,1125,0.054191,93.75,0.052797,1375,0.050846,125,0.05056,1093.8,0.049345,1187.5,0.048048,1250,0.047962,406.25,0.046681,1156.2,0.044744,1625,0.043873
61.814,31.25,1.3733,62.5,0.2336,93.75,0.080614,312.5,0.068185,187.5,0.063375,1562.5,0.061194,125,0.056158,156.25,0.054663,937.5,0.053747,218.75,0.049271,343.75,0.043233,1093.8,0.040979,1062.5,0.040954,1250,0.040486,656.25,0.040206,1312.5,0.040132
62.583,31.25,1.5453,156.25,0.14156,62.5,0.11743,125,0.11431,93.75,0.11027,281.25,0.068929,406.25,0.066766,1500,0.054048,218.75,0.05397,2000,0.048809,187.5,0.046507,2343.8,0.044153,468.75,0.040273,3062.5,0.04012,2968.8,0.038835,968.75,0.03883
63.096,31.25,1.5904,93.75,0.12481,156.25,0.079058,3000,0.067892,3062.5,0.058782,281.25,0.053223,218.75,0.048146,2593.8,0.041985,343.75,0.041561,406.25,0.040078,62.5,0.039204,1968.8,0.038516,3500,0.037935,2031.2,0.036053,1031.2,0.035766,2843.8,0.03527
63.609,31.25,1.6476,93.75,0.11526,156.25,0.073469,218.75,0.058432,3156.2,0.058107,281.25,0.049874,2968.8,0.045825,62.5,0.045409,343.75,0.044521,2875,0.042458,2937.5,0.039907,3468.8,0.038898,2812.5,0.036755,1968.8,0.03601,1843.8,0.034664,1906.2,0.033655
64.183,31.25,1.6469,93.75,0.11313,156.25,0.072311,218.75,0.059802,468.75,0.059098,3062.5,0.048264,281.25,0.047477,1968.8,0.044015,2562.5,0.041668,2062.5,0.041573,2031.2,0.040094,2875,0.039849,2125,0.039219,1562.5,0.039141,531.25,0.039055,1468.8,0.038033
64.635,31.25,1.5332,62.5,0.14819,125,0.12688,93.75,0.12671,156.25,0.11951,1500,0.083745,1531.2,0.073799,968.75,0.06774,1437.5,0.062654,187.5,0.059969,1281.2,0.058829,937.5,0.057141,1593.8,0.055871,1031.2,0.05586,281.25,0.055351,406.25,0.055204
65.147,31.25,1.5362,1281.2,0.16185,156.25,0.14163,1343.8,0.12837,62.5,0.11358,125,0.10172,93.75,0.10015,1312.5,0.091642,1531.2,0.081927,1250,0.075239,1218.8,0.067368,1500,0.059615,218.75,0.059177,1593.8,0.057693,1375,0.057392,656.25,0.055488
65.66,31.25,1.5294,156.25,0.1346,125,0.13229,93.75,0.1296,62.5,0.12782,1218.8,0.11153,1187.5,0.084262,187.5,0.074131,406.25,0.059718,1250,0.057148,656.25,0.056034,218.75,0.055989,1156.2,0.055066,281.25,0.049149,593.75,0.046643,1906.2,0.046176
66.173,31.25,1.154,281.25,0.075776,1093.8,0.068204,93.75,0.063367,1062.5,0.062528,500,0.06197,218.75,0.059528,156.25,0.059131,1125,0.054534,1156.2,0.054511,562.5,0.053429,468.75,0.05266,656.25,0.052505,1531.2,0.052484,1218.8,0.052471,781.25,0.051948
66.686,31.25,1.3975,62.5,0.21269,1250,0.11,1187.5,0.10546,1562.5,0.09601,93.75,0.083313,1281.2,0.082239,1218.8,0.071804,500,0.064721,593.75,0.064719,125,0.063936,1406.2,0.063258,1156.2,0.062532,187.5,0.061532,437.5,0.059439,656.25,0.056861
67.199,31.25,1.1374,375,0.043779,3625,0.041534,1562.5,0.038488,1468.8,0.037224,2593.8,0.036314,1156.2,0.034,718.75,0.033395,1500,0.032954,437.5,0.03128,93.75,0.02977,1593.8,0.02926,750,0.027793,1187.5,0.027512,2500,0.02736,1843.8,0.026381
67.711,31.25,1.5269,93.75,0.15768,62.5,0.15145,125,0.13701,156.25,0.13365,281.25,0.072293,187.5,0.059404,406.25,0.055964,218.75,0.053562,1531.2,0.050096,312.5,0.04633,1375,0.046149,656.25,0.044987,1843.8,0.043865,1625,0.043033,718.75,0.042694
68.224,31.25,1.6144,93.75,0.10285,156.25,0.063277,218.75,0.062754,2812.5,0.054143,3281.2,0.047079,3125,0.046516,1937.5,0.045126,1843.8,0.043921,281.25,0.041986,2687.5,0.041149,343.75,0.040484,3750,0.040304,1468.8,0.039964,2468.8,0.039557,2156.2,0.039342
